UNITID,ROOM,XROOMCAP,ROOMCAP,ALLONCAM,TUITVARY,BOARD,XMEALSWK,MEALSWK,XAPPFEEU,APPLFEEU,APPFEEUW,XAPPFEEG,APPLFEEG,APPFEEGW,XAPPFEED,APPLFEED,APPFEEDW,PRMPGM,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,FAFSAQ1,FAFSAQ2,FAFQ2URL,PRGMOFR,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XHRCHF1,HRCHF1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XHRCHF2,HRCHF2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XHRCHF3,HRCHF3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XHRCHF5,HRCHF5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XHRCHF6,HRCHF6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XHRCHF7,HRCHF7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG10AY0,CHG10AY0,XCHG10AY1,CHG10AY1,XCHG10AY2,CHG10AY2,XCHG10AY3,CHG10AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG10PY0,CHG10PY0,XCHG10PY1,CHG10PY1,XCHG10PY2,CHG10PY2,XCHG10PY3,CHG10PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6
100654,1,R,4200,2,1,1,R,21,R,30,1,R,45,0,A,,-2,2,1,0,0,1,0,2,2,,-2,R,5103,R,4202,A,,R,8610,R,1414,R,287,R,536,R,8610,R,1414,R,287,R,536,R,17220,R,1414,R,574,R,536,R,7596,R,1414,R,422,R,536,R,7596,R,1414,R,422,R,536,R,15192,R,1414,R,840,R,536,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,8610,R,1414,R,10024,R,8610,R,1414,R,10024,R,8610,R,1414,R,10024,R,8610,R,1414,R,10024,,,R,8610,R,1414,R,10024,R,8610,R,1414,R,10024,R,8610,R,1414,R,10024,R,8610,R,1414,R,10024,,,R,17220,R,1414,R,18634,R,17220,R,1414,R,18634,R,17220,R,1414,R,18634,R,17220,R,1414,R,18634,,,R,1600,R,1600,R,2192,R,2270,R,9520,R,9520,R,11402,R,11402,R,3090,R,3090,R,3864,R,4036,R,9520,R,9520,R,11402,R,11402,R,3090,R,3090,R,3864,R,4036,A,,A,,A,,R,11402,R,3440,R,3440,R,4271,R,4036,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
100663,1,R,3480,2,1,2,A,,R,40,1,R,50,1,R,75,1,1,1,0,0,1,0,2,2,,-2,R,7880,R,6290,A,,R,9048,R,50,R,377,R,0,R,9048,R,50,R,377,R,0,R,22512,R,50,R,938,R,0,R,8640,R,0,R,480,R,0,R,8640,R,0,R,480,R,0,R,21168,R,0,R,1176,R,0,Y,,Y,,Y,,Y,,R,32860,Z,0,R,76594,Z,0,R,33098,Z,0,R,62714,Z,0,R,30735,Z,0,R,54012,Z,0,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,R,8568,R,0,R,8568,R,8832,R,0,R,8832,R,8832,R,0,R,8832,R,9048,R,50,R,9098,,,R,8568,R,0,R,8568,R,8832,R,0,R,8832,R,8832,R,0,R,8832,R,9048,R,50,R,9098,,,R,20400,R,0,R,20400,R,21216,R,0,R,21216,R,21864,R,0,R,21864,R,22512,R,50,R,22562,,,R,1200,R,1200,R,1200,R,1200,R,12307,R,13120,R,13590,R,14170,R,5555,R,5757,R,5757,R,5781,R,12307,R,14330,R,14580,R,14840,R,5555,R,6007,R,6007,R,6031,A,,A,,A,,R,6290,R,5555,R,6007,R,6007,R,6031,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
100690,2,A,,2,2,3,A,,R,50,1,R,50,1,A,,-2,2,2,0,0,0,0,2,2,,-2,A,,A,,A,,R,9480,R,990,R,455,R,990,R,9480,R,990,R,455,R,990,R,9480,R,990,R,455,R,990,R,11700,R,1390,R,750,R,1390,R,11700,R,1390,R,750,R,1390,R,11700,R,1390,R,750,R,1390,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6600,R,990,R,7590,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6600,R,990,R,7590,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6600,R,990,R,7590,,,A,,A,,A,,R,900,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,9600,A,,A,,A,,R,2540,A,,A,,A,,R,6720,A,,A,,A,,R,2540,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
100706,1,R,2148,2,1,1,R,21,R,30,0,R,60,0,A,,-2,1,1,0,0,1,0,2,1,www.uah.edu/admissions/undergraduate/financial-aid,-2,A,,A,,R,12428,R,10374,R,1758,R,441,R,117,R,10374,R,1758,R,441,R,117,R,24650,R,1758,R,1040,R,117,R,11334,R,1054,R,695,R,87,R,11334,R,1054,R,695,R,87,R,27216,R,1054,R,1633,R,87,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,9730,R,1758,R,11488,R,10120,R,1758,R,11878,R,10120,R,1650,R,11770,R,10374,R,1758,R,12132,,,R,9730,R,1758,R,11488,R,10120,R,1758,R,11878,R,10120,R,1650,R,11770,R,10374,R,1758,R,12132,,,R,22126,R,1758,R,23884,R,23012,R,1758,R,24770,R,23012,R,1650,R,24662,R,24650,R,1758,R,26408,,,R,2300,R,2416,R,2416,R,2662,R,10764,R,11122,R,11122,R,12428,R,4156,R,4462,R,4462,R,4867,R,10764,R,11122,R,11122,R,12428,R,4156,R,4462,R,4462,R,4867,A,,A,,A,,R,4500,R,4156,R,4462,R,4462,R,4867,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
100724,1,R,2281,2,1,1,R,72,R,30,1,R,65,1,R,0,1,2,1,0,0,1,0,2,2,,-2,R,3500,R,4316,A,,R,8328,R,2920,R,347,R,1550,R,8328,R,2920,R,347,R,1550,R,16656,R,2920,R,694,R,1550,R,7416,R,2920,R,412,R,1550,R,7416,R,2920,R,412,R,1550,R,14832,R,2920,R,824,R,1550,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,8328,R,2740,R,11068,R,8328,R,2740,R,11068,R,8328,R,2920,R,11248,R,8328,R,2920,R,11248,,,R,8328,R,2740,R,11068,R,8328,R,2740,R,11068,R,8328,R,2920,R,11248,R,8328,R,2920,R,11248,,,R,16656,R,2740,R,19396,R,16656,R,2740,R,19396,R,16656,R,2920,R,19576,R,16656,R,2920,R,19576,,,R,1600,R,1600,R,1600,R,1600,R,6050,R,6050,R,7690,R,7816,R,3392,R,3392,R,3392,R,3392,R,7320,R,7320,R,7320,R,7816,R,5130,R,5130,R,5130,R,5130,A,,A,,A,,R,1298,R,5130,R,5130,R,5130,R,5130,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
100751,1,R,9400,2,1,1,R,99,R,40,1,R,65,1,R,40,1,1,1,0,0,1,0,2,2,,-2,R,7750,R,4616,A,,R,11380,R,800,R,545,R,33,R,11380,R,800,R,545,R,33,R,33372,R,800,R,1470,R,33,R,11380,R,600,R,650,R,33,R,11380,R,600,R,650,R,33,R,33372,R,600,R,1710,R,33,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,R,33098,R,0,R,62714,R,0,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,R,24480,R,810,R,46700,R,810,R,10780,R,840,R,11620,R,11100,R,840,R,11940,R,11100,R,800,R,11900,R,11380,R,800,R,12180,,,R,10780,R,840,R,11620,R,11100,R,840,R,11940,R,11100,R,800,R,11900,R,11380,R,800,R,12180,,,R,30250,R,840,R,31090,R,31460,R,840,R,32300,R,32400,R,800,R,33200,R,33372,R,800,R,34172,,,R,800,R,800,R,800,R,700,R,13934,R,14426,R,14840,R,15016,R,4670,R,4858,R,5842,R,6028,R,13934,R,14426,R,14564,R,15428,R,4670,R,4858,R,6598,R,6802,A,,A,,A,,R,7716,R,5742,R,6028,R,7179,R,7407,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
100760,2,A,,2,1,3,A,,A,,-2,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,-2,A,,A,,A,,R,3870,R,1240,R,129,R,46,R,3870,R,1240,R,129,R,46,R,7740,R,1240,R,258,R,46,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,3690,R,1240,R,4930,R,3750,R,1240,R,4990,R,3810,R,1230,R,5040,R,3870,R,1240,R,5110,,,R,3690,R,1240,R,4930,R,3750,R,1240,R,4990,R,3810,R,1230,R,5040,R,3870,R,1240,R,5110,,,R,7380,R,1240,R,8620,R,7500,R,1240,R,8740,R,7620,R,1230,R,8850,R,7740,R,1240,R,8980,,,R,1000,R,1250,R,1020,R,1050,A,,A,,A,,A,,A,,A,,A,,A,,R,10238,R,14364,R,15628,R,13804,R,4360,R,6524,R,7973,R,9023,A,,A,,A,,R,3434,R,4360,R,6524,R,7973,R,4838,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
100812,1,R,34,-2,1,3,A,,A,,-2,A,,-2,A,,-2,2,1,0,0,1,0,2,2,,-2,R,5000,A,,A,,R,7680,R,2340,R,256,R,78,R,7680,R,2340,R,256,R,78,R,15360,R,2340,R,512,R,78,R,8856,R,1872,R,369,R,78,R,8856,R,1872,R,369,R,78,R,15360,R,1872,R,640,R,78,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
100830,1,R,1100,2,1,2,A,,A,,-2,R,25,0,A,,-2,2,1,0,0,1,0,2,2,,-2,R,4680,R,2688,A,,R,8832,R,868,R,368,R,460,R,8832,R,868,R,368,R,460,R,19800,R,868,R,825,R,460,R,8370,R,766,R,465,R,460,R,8370,R,766,R,465,R,460,R,18792,R,766,R,1044,R,460,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,7992,R,868,R,8860,R,8232,R,868,R,9100,R,8568,R,868,R,9436,R,8832,R,868,R,9700,,,R,7992,R,868,R,8860,R,8232,R,868,R,9100,R,8568,R,868,R,9436,R,8832,R,868,R,9700,,,R,17952,R,868,R,18820,R,18480,R,868,R,19348,R,19224,R,868,R,20092,R,19800,R,868,R,20668,,,R,1200,R,1200,R,1500,R,1500,R,7368,R,7368,R,7368,R,7368,R,3830,R,4030,R,4478,R,4545,R,10296,R,10485,R,12762,R,12762,R,3830,R,4030,R,4478,R,4545,A,,A,,A,,A,,R,3830,R,4030,R,4478,R,4545,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
100858,1,R,4892,2,1,2,A,,R,50,1,R,60,0,R,60,1,2,1,0,0,1,0,2,2,,-2,R,10326,R,6300,A,,R,11016,R,1874,R,459,R,1874,R,11016,R,1874,R,459,R,1874,R,33048,R,1874,R,1377,R,1874,R,11016,R,1874,R,612,R,1874,R,11016,R,1874,R,612,R,1874,R,32112,R,1874,R,1836,R,1874,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,R,11016,R,13874,R,33048,R,13874,Y,,Y,,Y,,Y,,R,11016,R,20958,R,33048,R,20958,Y,,Y,,Y,,Y,,R,10080,R,1746,R,11826,R,10392,R,1784,R,12176,R,10704,R,1832,R,12536,R,11016,R,1874,R,12890,,,R,10080,R,1746,R,11826,R,10392,R,1784,R,12176,R,10704,R,1832,R,12536,R,11016,R,1874,R,12890,,,R,30240,R,1746,R,31986,R,31176,R,1784,R,32960,R,32112,R,1832,R,33944,R,33048,R,1874,R,34922,,,R,1200,R,1200,R,1200,R,1200,R,14596,R,14998,R,15396,R,16626,R,6028,R,6028,R,6166,R,6166,R,14596,R,14998,R,14736,R,15436,R,6028,R,6028,R,6166,R,6166,A,,A,,A,,R,8366,R,6028,R,6028,R,6166,R,6166,-2,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,,-2,A,,A,,A,,-2,A,
